id,Evakuasi,kor_lat,kor_lon,alamat
1,Brawijaya Driving Range,-7.302,112.725,"Jl. Hayam Wuruk No.54A, Sawunggaling, Kec. Wonokromo, Surabaya, Jawa Timur 60242"
2,Kodam V Brawijaya,-7.301,112.723,"Jl. Raden Wijaya No.1, Sawunggaling, Kec. Wonokromo, Surabaya, Jawa Timur 60242"
3,Gedung Olahraga Kodam V Brawijaya,-7.301,112.726,"Jl. Hayam Wuruk No.17-42, Sawunggaling, Kec. Wonokromo, Surabaya, Jawa Timur 60242"
4,Lapangan Tenis Brengah,-7.305,112.722,"Jl. Hayam Wuruk No.18, Sawunggaling, Kec. Wonokromo, Surabaya, Jawa Timur 60242"
5,KPU Kota Surabaya,-7.294,112.73,"Jl. Adityawarman No.87, Sawunggaling, Kec. Wonokromo, Surabaya, Jawa Timur 60242"
6,Kantor Partai Golkar,-7.294,112.729,"PP4H+WF3, Sawunggaling, Kec. Wonokromo, Surabaya, Jawa Timur 60242"
7,Perwakilan Ombudsman RI Provinsi JaTim,-7.294,112.73,"Jl. Indragiri No.62, Sawunggaling, Kec. Wonokromo, Surabaya, Jawa Timur 60241"
8,Toro's Office,-7.294,112.731,"Jl. Adityawarman No.79, Sawunggaling, Kec. Wonokromo, Surabaya, Jawa Timur 60242"
9,Fit Hub adityawarman,-7.296,112.734,"Jl. Adityawarman No.39, Sawunggaling, Kec. Wonokromo, Surabaya, Jawa Timur 60242"
10,Masjid Al-Amin LDII,-7.298,112.732,"Gg. Kedurus II No.85, Sawunggaling, Kec. Wonokromo, Surabaya, Jawa Timur 60242"
11,TownSquare Surabaya,-7.295,112.729,"Jl. Hayam Wuruk No.6, RT.005/RW.11, Sawunggaling, Kec. Wonokromo, Surabaya, Jawa Timur 60242"
12,ARTOTEL TS Suites Surabaya,-7.296,112.729,"Jl. Hayam Wuruk No.6, Sawunggaling, Wonokromo, Surabaya, East Java 60242"
13,SMP St. Yosef Surabaya,-7.299,112.737,"Jl. Joyoboyo No.19, Sawunggaling, Kec. Wonokromo, Surabaya, Jawa Timur 60242"
14,Tunnel Joyoboyo-KBS,-7.298,112.737,"PP2P+GPG, Jl. Joyoboyo, Sawunggaling, Kec. Wonokromo, Surabaya, Jawa Timur 60242"
15,Kebun Binatang Surabaya,-7.295,112.736,"Jl. Setail No.1, Darmo, Kec. Wonokromo, Surabaya, Jawa Timur 60241"
16,Rumah Sakit Tk. III Brawijaya,-7.297,112.723,"Jl. Kesatriyan No.17, Sawunggaling, Kec. Wonokromo, Surabaya, Jawa Timur 60242"
17,Datasemen Polisi Militer V/4 Surabaya,-7.297,112.73,"Jl. Hayam Wuruk No.5, Sawunggaling, Kec. Wonokromo, Surabaya, Jawa Timur 60242"
18,Stadion Brawijaya,-7.295,112.727,"Jl. Brawijaya No.42a, Sawunggaling, Kec. Wonokromo, Surabaya, Jawa Timur 60242"
19,Taman Bungkul,-7.29,112.74,"Jl. Taman Bungkul, Darmo, Kec. Wonokromo, Surabaya, Jawa Timur 60241"
20,Grand Darmo Suite,-7.292,112.741,"Jl. Progo No.1-3, Darmo, Kec. Wonokromo, Surabaya, Jawa Timur 60241"
21,RS TNI AU Soemitro,-7.291,112.741,"Jl. Serayu No.17, Darmo, Kec. Wonokromo, Surabaya, Jawa Timur 60241"
22,RS William Booth Surabaya,-7.291,112.737,"Jl. Diponegoro No.34, Darmo, Kec. Wonokromo, Surabaya, Jawa Timur 60241"
23,SPBU Pertamina Diponegoro,-7.284,112.733,"Jl. Diponegoro No.221, Darmo, Kec. Wonokromo, Surabaya, Jawa Timur 60241"
24,Great Diponegoro Hotel Surabaya,-7.285,112.733,"Jl. Diponegoro No.215, Darmo, Kec. Wonokromo, Surabaya, Jawa Timur 60241"
25,Masjid Rahmat Kembang Kuning,-7.285,112.73,"Jl. Kembang Kuning No.79-81, Darmo, Kec. Wonokromo, Surabaya, Jawa Timur 60256"
26,Lapangan THOR,-7.287,112.731,"Jl. Patmosusastro, Darmo, Kec. Wonokromo, Surabaya, Jawa Timur 60256"
27,GOR Pancasila,-7.287,112.732,"Jl. Patmosusastro No.12, Darmo, Kec. Wonokromo, Surabaya, Jawa Timur 60256"
28,Lapangan Bola Bogowonto,-7.289,112.732,"Jl. Bogowonto No.30, Darmo, Kec. Wonokromo, Surabaya, Jawa Timur 60241"
29,Rumah Sakit Katolik Surabaya,-7.292,112.735,"PP5P+953, Darmo, Kec. Wonokromo, Surabaya, Jawa Timur 60241"
30,Rumah Sakit katolik St. Vincentius a paulo,-7.291,112.735,"Jl. Diponegoro No.51, Darmo, Kec. Wonokromo, Surabaya, Jawa Timur 60241"
31,Hotel Oval,-7.294,112.738,"Jl. Diponegoro No.23, Darmo, Kec. Wonokromo, Surabaya, Jawa Timur 60241"
32,Giant Diponegoro,-7.282,112.732,"Darmo, Kec. Wonokromo, Surabaya, Jawa Timur 60241"
33,Yayasan Masjid Nurudl Adha,-7.296,112.74,"Jl. Darmorejo IV No.14-B, RT.008/RW.04, Darmo, Kec. Wonokromo, Surabaya, Jawa Timur 60241"
34,EOS (Entrepreneur Office Solutions) Darmokali,-7.293,112.741,"Jl. Darmokali No.34, Darmo, Kec. Wonokromo, Surabaya, Jawa Timur 60241"
35,PT Pertamina Gas,-7.293,112.739,"Jl. Darmokali No.40-42, Darmo, Kec. Wonokromo, Surabaya, Jawa Timur 60241"
36,Grand Darmo Suite,-7.292,112.739,"Jl. Progo No.1-3, Darmo, Kec. Wonokromo, Surabaya, Jawa Timur 60241"
37,Taman Bungkul,-7.291,112.74,"Darmo, Kec. Wonokromo, Surabaya, Jawa Timur 60241"
38,Wisma Sehati Surabaya,-7.292,112.736,"Jl. Diponegoro No.19-21, Darmo, Kec. Wonokromo, Surabaya, Jawa Timur 60241"
39,STIKES Katolik St. Vincentius A Paulo,-7.293,112.735,"Jl. Jambi No.12 - 18, Darmo, Kec. Wonokromo, Surabaya, Jawa Timur 60241"
40,Pasar Keputran Utara,-7.275,112.743,"Jl. Urip Sumoharjo, Keputran, Kec. Tegalsari, Surabaya, Jawa Timur 60265"
41,Halim Design & Furniture,-7.286,112.74,"Jl. Raya Darmo No. 93, Surabaya 60241/60264."
42,Bank Mega,-7.287,112.74,"Jl. Raya Darmo No.95A, Keputran, Kec. Tegalsari, Surabaya, Jawa Timur 60264"
43,yayasan Kaliandra Sejati,-7.289,112.741,"7M34+H77, Gamoh Dayurejo, Area Sawah, Jatiarjo, Kec. Prigen, Pasuruan, Jawa Timur 67157"
44,Sekolah Dasar Santa Maria Surabaya,-7.284,112.741,"Jl. Tumapel No.10, Keputran, Kec. Tegalsari, Surabaya, Jawa Timur 60265"
45,Ikatan Alumni SMAK St. louis 1,-7.282,112.743,"Jl. Polisi Istimewa No.7, Keputran, Kec. Tegalsari, Surabaya, Jawa Timur 60265"
46,BCA KCU Darmo,-7.279,112.742,"Jl. Raya Darmo No.5, Keputran, Kec. Tegalsari, Surabaya, Jawa Timur 60265"
47,RedDoorz Urip Sumoharjo,-7.278,112.742,"Jl. Urip Sumoharjo No.65 - 67, Keputran, Kec. Tegalsari, Surabaya, Jawa Timur 60265"
48,Istana Permata Hotel Dinoyo,-7.279,112.744,"Jl. Dinoyo No.5, RW.9, Keputran, Kec. Tegalsari, Surabaya, Jawa Timur 60265"
49,Pasar Keputran Selatan,-7.278,112.744,"Jl. Dinoyo No.3, Keputran, Kec. Tegalsari, Surabaya, Jawa Timur 60265"
50,Gedung Keuangan Negara (GKN) II Surabaya,-7.285,112.746,"No.111, 60008, Gedung Keuangan Negara II Jl. Dinoyo No.111 Lantai 04, Keputran, Kec. Tegalsari, Surabaya, Jawa Timur 60265"
51,Universitas Katolik Widya mandala Surabaya-Dinoyo,-7.281,112.745,"Jl. Dinoyo No.42-44, Keputran, Kec. Tegalsari, Surabaya, Jawa Timur 60265"
52,SMA Katolik St. Louis 1 Surabaya,-7.28,112.744,"Jl. Polisi Istimewa No.7, Keputran, Kec. Tegalsari, Surabaya, Jawa Timur 60265"
53,Gereja Katedral Surabaya-Hati Kudus yesus,-7.281,112.742,"Jl. Polisi Istimewa No.15, Keputran, Kec. Tegalsari, Surabaya, Jawa Timur 60265"
54,Akademi Sekretari widya Mandala Surabaya,-7.281,112.744,"Jl. Dinoyo No.42, Keputran, Kec. Tegalsari, Surabaya, Jawa Timur 60265"
55,SMP Santa Katarina,-7.281,112.743,"Jl. Mojopahit No.38, Keputran, Kec. Tegalsari, Surabaya, Jawa Timur 60265"
57,SDN Keputran I,-7.284,112.743,"Jl. Dinoyo Sekolahan I No.1, RT.001/RW.04, Keputran, Kec. Tegalsari, Surabaya, Jawa Timur 60265"
58,Gereja Baptis Indonesia Indonesia Pengharapan,-7.275,112.731,"Jl. Pandegiling No.213A, DR. Soetomo, Kec. Tegalsari, Surabaya, Jawa Timur 60264"
59,Sekolah dasar kristen Baptis pengharapan,-7.275,112.731,"Jl. Pandegiling No.213, DR. Soetomo, Kec. Tegalsari, Surabaya, Jawa Timur 60264"
60,KB-TK Khadijah Pandegiling,-7.276,112.733,"Jl. Pandegiling No.217, DR. Soetomo, Kec. Tegalsari, Surabaya, Jawa Timur 60264"
61,Rumah Sakit darmo,-7.288,112.739,"Jl. Raya Darmo No.90, DR. Soetomo, Kec. Tegalsari, Surabaya, Jawa Timur 60264"
62,Mercure Surabaya Grand Mirama,-7.286,112.739,"Jl. Raya Darmo No.68 - 78, DR. Soetomo, Kec. Tegalsari, Surabaya, Jawa Timur 60264"
63,Quest Hotel Darmo Surabaya,-7.286,112.739,"Jl. Ronggolawe No.27 - 29, Wonorejo, Kec. Tegalsari, Surabaya, Jawa Timur 60264"
64,Grand Swiss-Belhotel Darmo Surabaya,-7.287,112.738,"Jl. Bintoro No.21 - 25, DR. Soetomo, Kec. Tegalsari, Surabaya, Jawa Timur 60264"
65,Amaris Hotel Darmo Surabaya,-7.286,112.738,"Jl. Taman Bintoro No. 3-5, DR. Soetomo, Tegalsari, Surabaya, East Java 60264"
66,Edubia-Bimbel Les Privat Surabaya,-7.288,112.737,"Jl. Cimanuk No.3, DR. Soetomo, Kec. Tegalsari, Surabaya, Jawa Timur 60264"
67,Konsulat Republik Federal Jerman,-7.283,112.739,"Jalan Doktor Wahidin No.29, DR. Soetomo, Kec. Tegalsari, Surabaya, Jawa Timur 60264"
68,Graha Wismilak,-7.282,112.74,"PP9R+62R Wismilak, DR. Soetomo, Tegalsari, Surabaya, East Java 60264"
69,Laboratorium Klinik Biotest,-7.277,112.732,"Jl. R.A Kartini No.78, DR. Soetomo, Kec. Tegalsari, Surabaya, Jawa Timur 60264"
70,Musholla SMPN 10 Surabaya,-7.278,112.733,"Jl. Kupang Segunting VI No.42, DR. Soetomo, Kec. Tegalsari, Surabaya, Jawa Timur 60264"
71,Lembaga Ilmu Pengetshuan Islam & Arab cbg Surabaya (LIPIA SBY),-7.281,112.733,"Jl. Diponegoro No.150, RT.002/RW.15, DR. Soetomo, Kec. Tegalsari, Surabaya, Jawa Timur 60264"
72,House of Bikers Surabaya,-7.282,112.733,"Jl. Diponegoro No.142, DR. Soetomo, Kec. Tegalsari, Surabaya, Jawa Timur 60264"
73,Persatuan Karya Dharma Kesehatan Indonesia,-7.283,112.734,"RSK St. Vincentius A Paulo, JL Diponegoro, No 51, DR. Soetomo, Surabaya, Jawa Timur 60241"
74,SDN Dr. Soetomo V,-7.286,112.735,"Jl. Trunojoyo No.84 001, RT.001/RW.19, DR. Soetomo, Kec. Tegalsari, Surabaya, Jawa Timur 60264"
75,REGANTRIS HOTEL SURABAYA,-7.284,112.735,"Jl. Dr. Soetomo No.79-81, DR. Soetomo, Kec. Tegalsari, Surabaya, Jawa Timur 60264"
76,PT JASA RAHARJA KANWIL JAWA TIMUR,-7.285,112.734,"Jl. Diponegoro No.98, RT.002/RW.15, DR. Soetomo, Kec. Tegalsari, Surabaya, Jawa Timur 60264"
77,Yayasan Mardiwijana,-7.284,112.735,"Jl. Trunojoyo No.69, RT.001/RW.19, DR. Soetomo, Kec. Tegalsari, Surabaya, Jawa Timur 60264"
78,Oud Soerabaja Eclectisch huis in de Gemeente,-7.286,112.737,"Jl. Taman Bintoro No.2, RT.004/RW.19, DR. Soetomo, Kec. Tegalsari, Surabaya, Jawa Timur 60264"
79,MOOI House,-7.286,112.737,"Jl. Untung Suropati No.101, DR. Soetomo, Kec. Tegalsari, Surabaya, Jawa Timur 60264"
80,Rumah sakit Yayasan darus Safa,-7.286,112.737,"Jl. Untung Suropati No.99, DR. Soetomo, Kec. Tegalsari, Surabaya, Jawa Timur 60264"
