id,Evakuasi,kor_lat,kor_lon,Alamat_ID,Alamat_EN
1,Brawijaya Driving Range,-7.302,112.725,"Jalan Hayam Wuruk, RW 12, Sawunggaling, Wonokromo, Surabaya, Jawa Timur, Jawa, 60224, Indonesia","Jalan Hayam Wuruk, RW 12, Sawunggaling, Wonokromo, Surabaya, East Java, Java, 60224, Indonesia"
2,Kodam V Brawijaya,-7.301,112.723,"Sarana Olahraga Kodam V/ Brawijaya, Jalan Gajah Mada II A, RW 12, Sawunggaling, Wonokromo, Surabaya, Jawa Timur, Jawa, 60224, Indonesia","Sarana Olahraga Kodam V/ Brawijaya, Jalan Gajah Mada II A, RW 12, Sawunggaling, Wonokromo, Surabaya, East Java, Java, 60224, Indonesia"
3,Gedung Olahraga Kodam V Brawijaya,-7.301,112.726,"Sarana Olahraga Kodam V/ Brawijaya, Jalan Gajah Mada II A, RW 12, Sawunggaling, Wonokromo, Surabaya, Jawa Timur, Jawa, 60224, Indonesia","Sarana Olahraga Kodam V/ Brawijaya, Jalan Gajah Mada II A, RW 12, Sawunggaling, Wonokromo, Surabaya, East Java, Java, 60224, Indonesia"
4,Lapangan Tenis Brengah,-7.305,112.722,"RW 09, Sawunggaling, Wonokromo, Surabaya, Jawa Timur, Jawa, 60222, Indonesia","RW 09, Sawunggaling, Wonokromo, Surabaya, East Java, Java, 60222, Indonesia"
5,KPU Kota Surabaya,-7.294,112.73,"Surabaya Town Square, 55, Jalan Adityawarman, RW 06, Darmo, Wonokromo, Surabaya, Jawa Timur, Jawa, 60242, Indonesia","Surabaya Town Square, 55, Jalan Adityawarman, RW 11, Sawunggaling, Wonokromo, Surabaya, East Java, Java, 60242, Indonesia"
6,Kantor Partai Golkar,-7.294,112.729,"Jalan Batang Hari, RW 11, Sawunggaling, Wonokromo, Surabaya, Jawa Timur, Jawa, 60242, Indonesia","Jalan Batang Hari, RW 11, Sawunggaling, Wonokromo, Surabaya, East Java, Java, 60242, Indonesia"
7,Perwakilan Ombudsman RI Provinsi JaTim,-7.294,112.73,"Surabaya Town Square, 55, Jalan Adityawarman, RW 11, Sawunggaling, Wonokromo, Surabaya, Jawa Timur, Jawa, 60242, Indonesia","Surabaya Town Square, 55, Jalan Adityawarman, RW 11, Sawunggaling, Wonokromo, Surabaya, East Java, Java, 60242, Indonesia"
8,Toro's Office,-7.294,112.731,"Surabaya Town Square, 55, Jalan Adityawarman, RW 11, Sawunggaling, Wonokromo, Surabaya, Jawa Timur, Jawa, 60242, Indonesia","Surabaya Town Square, 55, Jalan Adityawarman, RW 11, Sawunggaling, Wonokromo, Surabaya, East Java, Java, 60242, Indonesia"
9,Fit Hub adityawarman,-7.296,112.734,"Jalan Bumiarjo, RW 05, Sawunggaling, Wonokromo, Surabaya, Jawa Timur, Jawa, 60421, Indonesia","Jalan Bumiarjo, RW 05, Sawunggaling, Wonokromo, Surabaya, East Java, Java, 60421, Indonesia"
10,Masjid Al-Amin LDII,-7.298,112.732,"Jalan Waringin Gang Kedurus, RW 05, Sawunggaling, Wonokromo, Surabaya, Jawa Timur, Jawa, 60242, Indonesia","Jalan Waringin Gang Kedurus, RW 05, Sawunggaling, Wonokromo, Surabaya, East Java, Java, 60242, Indonesia"
11,TownSquare Surabaya,-7.295,112.729,"RW 11, Sawunggaling, Wonokromo, Surabaya, Jawa Timur, Jawa, 60242, Indonesia","RW 11, Sawunggaling, Wonokromo, Surabaya, East Java, Java, 60242, Indonesia"
12,ARTOTEL TS Suites Surabaya,-7.296,112.729,"Jalan Perwira, RW 11, Sawunggaling, Wonokromo, Surabaya, Jawa Timur, Jawa, 60242, Indonesia","Jalan Perwira, RW 11, Sawunggaling, Wonokromo, Surabaya, East Java, Java, 60242, Indonesia"
13,SMP St. Yosef Surabaya,-7.299,112.737,"Dinas Perhubungan UPTD Terminal Joyoboyo, Jalan Gunung Sari, RW 06, Sawunggaling, Wonokromo, Surabaya, Jawa Timur, Jawa, 60243, Indonesia","Dinas Perhubungan UPTD Terminal Joyoboyo, Jalan Gunung Sari, RW 06, Sawunggaling, Wonokromo, Surabaya, East Java, Java, 60243, Indonesia"
14,Tunnel Joyoboyo-KBS,-7.298,112.737,"Jalan Bumiarjo, RW 05, Darmo, Wonokromo, Surabaya, Jawa Timur, Jawa, 60243, Indonesia","Jalan Bumiarjo, RW 05, Darmo, Wonokromo, Surabaya, East Java, Java, 60243, Indonesia"
15,Kebun Binatang Surabaya,-7.295,112.736,"Kebun Binatang Surabaya, 1, Jalan Setail, RW 05, Darmo, Wonokromo, Surabaya, Jawa Timur, Jawa, 60421, Indonesia","Kebun Binatang Surabaya, 1, Jalan Setail, RW 05, Darmo, Wonokromo, Surabaya, East Java, Java, 60421, Indonesia"
16,Rumah Sakit Tk. III Brawijaya,-7.297,112.723,"RS Kodam Brawijaya, Jalan Karangan, RW 12, Sawunggaling, Wonokromo, Surabaya, Jawa Timur, Jawa, 60224, Indonesia","RS Kodam Brawijaya, Jalan Karangan, RW 12, Sawunggaling, Wonokromo, Surabaya, East Java, Java, 60224, Indonesia"
17,Datasemen Polisi Militer V/4 Surabaya,-7.297,112.73,"RW 11, Sawunggaling, Wonokromo, Surabaya, Jawa Timur, Jawa, 60242, Indonesia","RW 11, Sawunggaling, Wonokromo, Surabaya, East Java, Java, 60242, Indonesia"
18,Stadion Brawijaya,-7.295,112.727,"Jalan Brawijaya I, RW 11, Sawunggaling, Wonokromo, Surabaya, Jawa Timur, Jawa, 60242, Indonesia","Jalan Brawijaya I, RW 11, Sawunggaling, Wonokromo, Surabaya, East Java, Java, 60242, Indonesia"
19,Taman Bungkul,-7.29,112.74,"Jalan Bengawan, RW 03, Darmo, Wonokromo, Surabaya, Jawa Timur, Jawa, 60421, Indonesia","Jalan Bengawan, RW 03, Darmo, Wonokromo, Surabaya, East Java, Java, 60421, Indonesia"
20,Grand Darmo Suite,-7.292,112.741,"Grand Darmo Suite, 1-3, Jalan Progo, RW 03, Darmo, Wonokromo, Surabaya, Jawa Timur, Jawa, 60241, Indonesia","Grand Darmo Suite, 1-3, Jalan Progo, RW 03, Darmo, Wonokromo, Surabaya, East Java, Java, 60241, Indonesia"
21,RS TNI AU Soemitro,-7.291,112.741,"Gereja Bonifacius, Jalan Serayu, RW 03, Darmo, Wonokromo, Surabaya, Jawa Timur, Jawa, 60421, Indonesia","Gereja Bonifacius, Jalan Serayu, RW 03, Darmo, Wonokromo, Surabaya, East Java, Java, 60421, Indonesia"
22,RS William Booth Surabaya,-7.291,112.737,"Rumah Sakit William Booth Surabaya, 34, Jalan Diponegoro, RW 04, Dr. Sutomo, Tegalsari, Surabaya, Jawa Timur, Jawa, 60241, Indonesia","Rumah Sakit William Booth Surabaya, 34, Jalan Diponegoro, RW 04, Dr. Sutomo, Tegalsari, Surabaya, East Java, Java, 60241, Indonesia"
23,SPBU Pertamina Diponegoro,-7.284,112.733,"Jalan Raya Diponegoro, RW 09, Darmo, Wonokromo, Surabaya, Jawa Timur, Jawa, 60264, Indonesia","Jalan Raya Diponegoro, RW 09, Darmo, Wonokromo, Surabaya, East Java, Java, 60264, Indonesia"
24,Great Diponegoro Hotel Surabaya,-7.285,112.733,"Natasha Skin Care, Jalan Dokter Soetomo, RW 01, Darmo, Wonokromo, Surabaya, Jawa Timur, Jawa, 60264, Indonesia","Natasha Skin Care, Jalan Dokter Soetomo, RW 01, Darmo, Wonokromo, Surabaya, East Java, Java, 60264, Indonesia"
25,Masjid Rahmat Kembang Kuning,-7.285,112.73,"Jalan Pakis I, RW 06, Pakis, Sawahan, Surabaya, Jawa Timur, Jawa, 60241, Indonesia","Jalan Pakis I, RW 06, Pakis, Sawahan, Surabaya, East Java, Java, 60241, Indonesia"
26,Lapangan THOR,-7.287,112.731,"Jalan Patmosusastro, RW 08, Darmo, Wonokromo, Surabaya, Jawa Timur, Jawa, 60241, Indonesia","Jalan Patmosusastro, RW 08, Darmo, Wonokromo, Surabaya, East Java, Java, 60241, Indonesia"
27,GOR Pancasila,-7.287,112.732,"Sop Buntut Gelora Pancasila, Jalan Musi, RW 01, Darmo, Wonokromo, Surabaya, Jawa Timur, Jawa, 60241, Indonesia","Sop Buntut Gelora Pancasila, Jalan Musi, RW 01, Darmo, Wonokromo, Surabaya, East Java, Java, 60241, Indonesia"
28,Lapangan Bola Bogowonto,-7.289,112.732,"Lapangan Jalan Bogowonto, Jalan Sambas, RW 01, Darmo, Wonokromo, Surabaya, Jawa Timur, Jawa, 60241, Indonesia","Lapangan Jalan Bogowonto, Jalan Sambas, RW 01, Darmo, Wonokromo, Surabaya, East Java, Java, 60241, Indonesia"
29,Rumah Sakit Katolik Surabaya,-7.292,112.735,"Rumah Sakit Katolik St. Vincentius A Paulo (RKZ), Jalan Cisadane, RW 06, Darmo, Wonokromo, Surabaya, Jawa Timur, Jawa, 60421, Indonesia","Rumah Sakit Katolik St. Vincentius A Paulo (RKZ), Jalan Cisadane, RW 06, Darmo, Wonokromo, Surabaya, East Java, Java, 60421, Indonesia"
30,Rumah Sakit katolik St. Vincentius a paulo,-7.291,112.735,"Jalan Kutai, RW 05, Darmo, Wonokromo, Surabaya, Jawa Timur, Jawa, 60421, Indonesia","Jalan Kutai, RW 05, Darmo, Wonokromo, Surabaya, East Java, Java, 60421, Indonesia"
31,Hotel Oval,-7.294,112.738,"Jalan Raya Diponegoro, RW 02, Darmo, Wonokromo, Surabaya, Jawa Timur, Jawa, 60421, Indonesia","Jalan Raya Diponegoro, RW 02, Darmo, Wonokromo, Surabaya, East Java, Java, 60421, Indonesia"
32,Giant Diponegoro,-7.282,112.732,"Jalan Raya Diponegoro, RW 09, Darmo, Wonokromo, Surabaya, Jawa Timur, Jawa, 60264, Indonesia","Jalan Raya Diponegoro, RW 09, Darmo, Wonokromo, Surabaya, East Java, Java, 60264, Indonesia"
33,Yayasan Masjid Nurudl Adha,-7.296,112.74,"Bank Panin, Jalan Porong, RW 04, Darmo, Wonokromo, Surabaya, Jawa Timur, Jawa, 60421, Indonesia","Bank Panin, Jalan Porong, RW 04, Darmo, Wonokromo, Surabaya, East Java, Java, 60421, Indonesia"
34,EOS (Entrepreneur Office Solutions) Darmokali,-7.293,112.741,"Restoran Bebek Tepi Sawah Surabaya, No. 50, Jalan Juwono, RW 03, Darmo, Wonokromo, Surabaya, Jawa Timur, Jawa, 60241, Indonesia","Restoran Bebek Tepi Sawah Surabaya, No. 50, Jalan Juwono, RW 03, Darmo, Wonokromo, Surabaya, East Java, Java, 60241, Indonesia"
35,PT Pertamina Gas,-7.293,112.739,"Jalan Raya Darmo, RW 02, Darmo, Wonokromo, Surabaya, Jawa Timur, Jawa, 60421, Indonesia","Jalan Raya Darmo, RW 02, Darmo, Wonokromo, Surabaya, East Java, Java, 60421, Indonesia"
36,Grand Darmo Suite,-7.292,112.739,"Jalan Raya Darmo, RW 02, Darmo, Wonokromo, Surabaya, Jawa Timur, Jawa, 60421, Indonesia","Jalan Raya Darmo, RW 02, Darmo, Wonokromo, Surabaya, East Java, Java, 60421, Indonesia"
37,Taman Bungkul,-7.291,112.74,"Arena Bermain, Jalan Taman Bungkul, RW 03, Darmo, Wonokromo, Surabaya, Jawa Timur, Jawa, 60421, Indonesia","Arena Bermain, Jalan Taman Bungkul, RW 03, Darmo, Wonokromo, Surabaya, East Java, Java, 60421, Indonesia"
38,Wisma Sehati Surabaya,-7.292,112.736,"Rumah Sakit Katolik St. Vincentius A Paulo (RKZ), Jalan Cisadane, RW 06, Darmo, Wonokromo, Surabaya, Jawa Timur, Jawa, 60421, Indonesia","Rumah Sakit Katolik St. Vincentius A Paulo (RKZ), Jalan Cisadane, RW 06, Darmo, Wonokromo, Surabaya, East Java, Java, 60421, Indonesia"
39,STIKES Katolik St. Vincentius A Paulo,-7.293,112.735,"Rumah Sakit Katolik St. Vincentius A Paulo (RKZ), Jalan Cisadane, RW 06, Darmo, Wonokromo, Surabaya, Jawa Timur, Jawa, 60421, Indonesia","Rumah Sakit Katolik St. Vincentius A Paulo (RKZ), Jalan Cisadane, RW 06, Darmo, Wonokromo, Surabaya, East Java, Java, 60421, Indonesia"
40,Pasar Keputran Utara,-7.275,112.743,"Pasar Keputran, Jalan Keputran III, RW 01, Keputran, Tegalsari, Surabaya, Jawa Timur, Jawa, 60271, Indonesia","Pasar Keputran, Jalan Keputran III, RW 01, Keputran, Tegalsari, Surabaya, East Java, Java, 60271, Indonesia"
41,Halim Design & Furniture,-7.286,112.74,"Bangkok Bank, Jalan Raya Darmo, RW 06, Keputran, Tegalsari, Surabaya, Jawa Timur, Jawa, 60265, Indonesia","Bangkok Bank, Jalan Raya Darmo, RW 06, Keputran, Tegalsari, Surabaya, East Java, Java, 60265, Indonesia"
42,Bank Mega,-7.287,112.74,"Jalan Comal, RW 06, Keputran, Tegalsari, Surabaya, Jawa Timur, Jawa, 60421, Indonesia","Jalan Comal, RW 06, Keputran, Tegalsari, Surabaya, East Java, Java, 60421, Indonesia"
43,yayasan Kaliandra Sejati,-7.289,112.741,"Jalan Lusi, RW 06, Keputran, Tegalsari, Surabaya, Jawa Timur, Jawa, 60421, Indonesia","Jalan Lusi, RW 06, Keputran, Tegalsari, Surabaya, East Java, Java, 60421, Indonesia"
44,Sekolah Dasar Santa Maria Surabaya,-7.284,112.741,"Jalan Tumapel, RW 06, Keputran, Tegalsari, Surabaya, Jawa Timur, Jawa, 60265, Indonesia","Jalan Tumapel, RW 06, Keputran, Tegalsari, Surabaya, East Java, Java, 60265, Indonesia"
45,Ikatan Alumni SMAK St. louis 1,-7.282,112.743,"Jalan Blambangan 12, 12, Jalan Blambangan, RW 06, Keputran, Tegalsari, Surabaya, Jawa Timur, Jawa, 60265, Indonesia","Jalan Blambangan 12, 12, Jalan Blambangan, RW 06, Keputran, Tegalsari, Surabaya, East Java, Java, 60265, Indonesia"
46,BCA KCU Darmo,-7.279,112.742,"Jalan Sriwijaya, RW 06, Keputran, Tegalsari, Surabaya, Jawa Timur, Jawa, 60265, Indonesia","Jalan Sriwijaya, RW 06, Keputran, Tegalsari, Surabaya, East Java, Java, 60265, Indonesia"
47,RedDoorz Urip Sumoharjo,-7.278,112.742,"BCA, Jalan Raya Darmo, RW 06, Keputran, Tegalsari, Surabaya, Jawa Timur, Jawa, 60265, Indonesia","BCA, Jalan Raya Darmo, RW 06, Keputran, Tegalsari, Surabaya, East Java, Java, 60265, Indonesia"
48,Istana Permata Hotel Dinoyo,-7.279,112.744,"Gereja Segala Bangsa, Jalan Sunda, RW 06, Keputran, Tegalsari, Surabaya, Jawa Timur, Jawa, 60265, Indonesia","Gereja Segala Bangsa, Jalan Sunda, RW 06, Keputran, Tegalsari, Surabaya, East Java, Java, 60265, Indonesia"
